1 Day Song Growth Rank,Change in 1 Day Song Growth Rank,1 Day Video Count Change,Song Title,Song Artist,Aggregate Video Count,Change in Video Count over Past 7 Days,Aggregate Video Views,Aggregate Video Engagements,Aggregate Sound Count,Top Performing Sound URLs
1,0,26119.0,Wiggle (feat. Snoop Dogg),Jason Derulo,1339961.0,5414.0,925603101.0,112899033.0,113.0,"['https://m.tiktok.com/h5/share/music/251424670263107584.html?language=en&source=h5_m&u_code=e0ci43k3b0339b&_d=e0ci43k3b0339b&share_music_id=251424670263107584', 'https://m.tiktok.com/h5/share/music/6481797099754261261.html?language=en&source=h5_m&u_code=e0ci5b80i0m090&_d=e0ci5b80i0m090&share_music_id=6481797099754261261', 'https://m.tiktok.com/h5/share/music/6752971449297832709.html?language=en&source=h5_m&u_code=e0ci291ih0llec&_d=e0ci291ih0llec&share_music_id=6752971449297832709']"
2,+1,24885.0,Rather Be (feat. Jess Glynne),Clean Bandit,2509568.0,153693.0,3014125205.0,453472449.0,127.0,"['https://www.tiktok.com/music/original-sound-6613817042191518470?_r=1&language=en&source=h5_m&u_code=e0chjh3hli0m5k&_d=e0chjh3hli0m5k&share_music_id=6613817042191518470', 'https://www.tiktok.com/music/L-o-s-a-m-o-6996758993192356613?_r=1&language=en&source=h5_m&u_code=e0ci8k1k045j63&_d=e0ci8k1k045j63&share_music_id=6996758993192356613', 'https://m.tiktok.com/h5/share/music/6590817116121729797.html?language=en&source=h5_m&u_code=e0chka10bfh00f&_d=e0chka10bfh00f&share_music_id=6590817116121729797']"
3,+20,11924.0,Jenny (I Wanna Ruin Our Friendship),Studio Killers,4013523.0,4763.0,5837266678.0,700812506.0,292.0,"['https://www.tiktok.com/music/Jenny-Hearteye-Speed-Mix-7037203934725114629?_r=1&language=en&source=h5_m&u_code=e0ci7c6787ell6&_d=e0ci7c6787ell6&share_music_id=7037203934725114629', 'https://www.tiktok.com/music/jenny-by-studio-killers-6999031076001745670?_r=1&language=en&source=h5_m&u_code=e0ci05j9c0b1l5&_d=e0ci05j9c0b1l5&share_music_id=6999031076001745670', 'https://www.tiktok.com/music/%D0%BE%D1%80%D0%B8%D0%B3%D0%B8%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9-%D0%B7%D0%B2%D1%83%D0%BA-7042696867926313729?_r=1&language=en&source=h5_m&u_code=e0chh2c1fgge6g&_d=e0chh2c1fgge6g&share_music_id=7042696867926313729']"
4,0,9532.0,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,1138748.0,62301.0,3675810628.0,320744291.0,85.0,"['https://m.tiktok.com/h5/share/music/6738456583379880706.html?language=en&source=h5_m&u_code=e0ci2443jckk3m&_d=e0ci2443jckk3m&share_music_id=6738456583379880706', 'https://m.tiktok.com/h5/share/music/6735198391862560770.html?language=en&source=h5_m&u_code=e0ci5fh4f40j1a&_d=e0ci5fh4f40j1a&share_music_id=6735198391862560770', 'https://m.tiktok.com/h5/share/music/7026114298900744965.html?language=en&source=h5_m&u_code=e0chmmdlh5jdbk&_d=e0chmmdlh5jdbk&share_music_id=7026114298900744965']"
5,+1,8296.0,Right Foot Creep,YoungBoy Never Broke Again,643190.0,64640.0,595293757.0,77159198.0,67.0,"['https://m.tiktok.com/h5/share/music/6871082689080854530.html?language=en&source=h5_m&u_code=e0ci6d3ae18e86&_d=e0ci6d3ae18e86&share_music_id=6871082689080854530', 'https://m.tiktok.com/h5/share/music/7054967897734597423.html?language=en&source=h5_m&u_code=e0chk9396gkelk&_d=e0chk9396gkelk&share_music_id=7054967897734597423', 'https://m.tiktok.com/h5/share/music/6873858900312017670.html?language=en&source=h5_m&u_code=e0chhemi89562l&_d=e0chhemi89562l&share_music_id=6873858900312017670']"
6,+1,7897.0,abcdefu,GAYLE,3817208.0,57169.0,15015002662.0,1511548012.0,969.0,"['https://www.tiktok.com/music/abcdefu-6994724904944568322?_r=1&language=en&source=h5_m&u_code=e0ci2g48771jic&_d=e0ci2g48771jic&share_music_id=6994724904944568322', 'https://www.tiktok.com/music/abcdefu-angrier-7010331193157634050?_r=1&language=en&source=h5_m&u_code=e0chikc5iej4kj&_d=e0chikc5iej4kj&share_music_id=7010331193157634050', 'https://www.tiktok.com/music/original-sound-7028611882210708229?_r=1&language=en&source=h5_m&u_code=e0chc1ef2mc415&_d=e0chc1ef2mc415&share_music_id=7028611882210708229']"
7,+2,6136.0,Before I Knew It,Mason Ramsey,466521.0,35350.0,2271694671.0,255336671.0,43.0,"['https://www.tiktok.com/music/Before-I-Knew-It-6716842684704622593?_r=1&language=en&source=h5_m&u_code=e0ci91jhml7h5k&_d=e0ci91jhml7h5k&share_music_id=6716842684704622593', 'https://m.tiktok.com/h5/share/music/7063882093272615726.html?language=en&source=h5_m&u_code=e0chi60c124i99&_d=e0chi60c124i99&share_music_id=7063882093272615726', 'https://m.tiktok.com/h5/share/music/7058262723859368751.html?language=en&source=h5_m&u_code=e0ci5ik6dg7g79&_d=e0ci5ik6dg7g79&share_music_id=7058262723859368751']"
8,-6,5952.0,No Idea,Don Toliver,5296460.0,46674.0,5331160834.0,816084225.0,368.0,"['https://www.tiktok.com/music/JB-7045099596397267758?_r=1&language=en&source=h5_m&u_code=e0ci0em9lbcl53&_d=e0ci0em9lbcl53&share_music_id=7045099596397267758', 'https://m.tiktok.com/h5/share/music/6761883349347879685.html?language=en&source=h5_m&u_code=e0chie09a15mmg&_d=e0chie09a15mmg&share_music_id=6761883349347879685', 'https://m.tiktok.com/h5/share/music/6935108446304176902.html?language=en&source=h5_m&u_code=e0chbdm16ijck1&_d=e0chbdm16ijck1&share_music_id=6935108446304176902']"
9,-4,5518.0,Infinity,Jaymes Young,8109938.0,30593.0,28900936818.0,2831042130.0,715.0,"['https://m.tiktok.com/h5/share/music/6704992801559414786.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6704992801559414786', 'https://www.tiktok.com/music/Infinity-7030156423506316034?_r=1&language=en&source=h5_m&u_code=e0ci56bi0c8f72&_d=e0ci56bi0c8f72&share_music_id=7030156423506316034', 'https://m.tiktok.com/h5/share/music/7033036433606773506.html?language=en&source=h5_m&u_code=e0ci21ea90kd4e&_d=e0ci21ea90kd4e&share_music_id=7033036433606773506']"
10,0,4128.0,Don't Be Shy,Tiësto,887735.0,25982.0,2056898962.0,145853105.0,74.0,"['https://www.tiktok.com/music/Don%27t-Be-Shy-6992044838635964417?_r=1&language=en&source=h5_m&u_code=e0ci1a21gib1m4&_d=e0ci1a21gib1m4&share_music_id=6992044838635964417', 'https://www.tiktok.com/music/Don%27t-Be-Shy-7032955283915803398?_r=1&language=en&source=h5_m&u_code=e0chg40di164g1&_d=e0chg40di164g1&share_music_id=7032955283915803398', 'https://www.tiktok.com/music/Don%27t-Be-Shy-6995575301858134018?_r=1&language=en&source=h5_m&u_code=e0ci602f440hjg&_d=e0ci602f440hjg&share_music_id=6995575301858134018']"
