Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
Jenny (I Wanna Ruin Our Friendship),Studio Killers,https://m.tiktok.com/h5/share/music/7063917623092005633.html?language=en&source=h5_m&u_code=e0chf2bg89b0me&_d=e0chf2bg89b0me&share_music_id=7063917623092005633,468635006,43441,14920.0,21965.0,24159.0,34229.0,41293.0,3.845554926387316,0.82,0.478,0.035,0.14,0.3023508137432188,0.7879422665224097,0.828929842830504,0.7058050191358205,0.9091849828221367,0.6175752307628627
Burn Rubber Again,AzChike,https://www.tiktok.com/music/Bing-Bong-7048832574126443311?_r=1&language=en&source=h5_m&u_code=e0chljj0266c60&_d=e0chljj0266c60&share_music_id=7048832574126443311,449864248,69775,8358.0,15879.0,22412.0,36724.0,43921.0,4.102681672919272,1.0,0.647,0.035,0.016,0.13690218477319657,0.5263203152991759,0.8361376107101387,0.6102821043459318,0.7085043726575049,0.37292521863287525
Primadonna,MARINA,https://www.tiktok.com/music/primadonna-by-MARINA-6961027901781216006?_r=1&language=en&source=h5_m&u_code=e0chlk69g87j08&_d=e0chlk69g87j08&share_music_id=6961027901781216006,395800655,47505,4820.0,9860.0,15110.0,29714.0,34645.0,5.02595822348408,0.82,0.478,0.035,0.016,0.15397326401782407,0.625492053468056,0.8576706595468322,0.508514504947163,0.6525479814692257,0.3189940436796823
Hollywood,MARINA,https://m.tiktok.com/h5/share/music/7064975334369725186.html?language=en&source=h5_m&u_code=e0chhfh5d063gk&_d=e0chhfh5d063gk&share_music_id=7064975334369725186,469840716,7905,2774.0,4568.0,6393.0,7894.0,7904.0,788.4,0.102,0.488,0.035,0.016,0.7524345999618101,0.9986084756483239,0.9987348178137652,0.8098555865214087,0.7145315188487408,0.433912091349914
Tội Cho Anh,Lữ Bình,https://www.tiktok.com/music/RIP-by-Faouzia-7065425482363308805?_r=1&language=en&source=h5_m&u_code=e0chefd2j96330&_d=e0chefd2j96330&share_music_id=7065425482363308805,470846272,15577,2730.0,5629.0,8130.0,14682.0,nan,nan,0.303,0.328,0.035,0.016,0.3456675096499401,0.9425434936123772,nan,0.5537392725786677,0.6923739237392373,0.33579335793357934
Photograph,Ed Sheeran,https://www.tiktok.com/music/Photograph-6739884087982426113?_r=1&language=en&source=h5_m&u_code=e0ci23hkb27la7&_d=e0ci23hkb27la7&share_music_id=6739884087982426113,325350488,86946,1015.0,1835.0,2611.0,5453.0,10779.0,0.023845287269996244,1.0,0.818,0.035,0.016,0.009667722419253962,0.0627170887677409,0.5058910845161889,0.47881899871630296,0.7027958636537724,0.38873994638069703
That's What I Like,Bruno Mars,https://www.tiktok.com/music/original-sound-7047203485166619397?_r=1&language=en&source=h5_m&u_code=e0chkdakj738b5&_d=e0chkdakj738b5&share_music_id=7047203485166619397,448884545,61942,820.0,1350.0,1523.0,2988.0,4802.0,0.6471885336273429,1.0,0.647,0.035,0.016,0.007691364529587349,0.04823867488941268,0.6222407330279051,0.5097054886211513,0.886408404464872,0.5384110308601444
The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,https://m.tiktok.com/h5/share/music/7054284165788748550.html?language=en&source=h5_m&u_code=e0chdklim33hc4&_d=e0chdklim33hc4&share_music_id=7054284165788748550,458490452,4264,582.0,1020.0,1513.0,2655.0,3578.0,1.876489707475623,0.102,0.083,0.035,0.016,0.14524905818334016,0.6226547842401501,0.7420346562325322,0.5698681732580038,0.6741573033707865,0.38466622604097817
Love Faces,Trey Songz,https://m.tiktok.com/h5/share/music/6896981514278406145.html?language=en&source=h5_m&u_code=e0ci1mm1dai96f&_d=e0ci1mm1dai96f&share_music_id=6896981514278406145,228416566,4206,543.0,1103.0,1586.0,2499.0,2988.0,4.110429447852761,0.102,0.083,0.035,0.016,0.16269870339169304,0.594151212553495,0.8363453815261044,0.6346538615446179,0.6954602774274905,0.34237074401008827
That's What I Like,Bruno Mars,https://www.tiktok.com/music/original-sound-YVON-ANDALLON%F0%9F%87%B5%F0%9F%87%AD-6964233768240515841?_r=1&language=en&source=h5_m&u_code=e0chbijb490178&_d=e0chbijb490178&share_music_id=6964233768240515841,398205500,75244,422.0,874.0,858.0,804.0,946.0,4.661971830985915,1.0,0.72,0.035,0.016,0.0022451149950048484,0.010685237361118495,0.8498942917547568,1.0671641791044777,1.0186480186480187,0.49184149184149184
