Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
nan,nan,https://www.tiktok.com/music/original-sound-7059240195731835649?_r=1&language=en&source=h5_m&u_code=e0ci4bfjf9m2k1&_d=e0ci4bfjf9m2k1&share_music_id=7059240195731835649,463443134,558533,30520.0,64635.0,102786.0,272696.0,487526.0,0.2693571661313597,1.0,1.0,1.0,0.461,0.08605380261595032,0.4882361471927353,0.5593465784388935,0.376925220758647,0.6288307746191115,0.29692759714357986
Rather Be (feat. Jess Glynne),Clean Bandit,https://www.tiktok.com/music/L-o-s-a-m-o-6996758993192356613?_r=1&language=en&source=h5_m&u_code=e0ci8k1k045j63&_d=e0ci8k1k045j63&share_music_id=6996758993192356613,428564967,360605,23787.0,48970.0,72162.0,146568.0,181054.0,3.2500724931856406,1.0,1.0,0.195,0.299,0.0730575517663472,0.40645027107222587,0.809526439625747,0.49234485017193386,0.678612011862199,0.3296333250187079
Unstoppable,Sia,https://www.tiktok.com/music/Unstoppable-6990441958090999809?_r=1&language=en&source=h5_m&u_code=e0chk93hj1f8kh&_d=e0chk93hj1f8kh&share_music_id=6990441958090999809,413442546,474228,12817.0,24930.0,37039.0,74693.0,129630.0,0.35961191910734114,1.0,1.0,0.827,0.381,0.02670319322601666,0.15750440716279931,0.5762014965671527,0.49588314835392877,0.6730743270606658,0.3460406598450282
love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,https://m.tiktok.com/h5/share/music/6738456583379880706.html?language=en&source=h5_m&u_code=e0ci2443jckk3m&_d=e0ci2443jckk3m&share_music_id=6738456583379880706,120017970,688521,9717.0,19595.0,28035.0,66011.0,131218.0,0.012329964574355513,1.0,1.0,1.0,0.573,0.014721969890835174,0.09587361896006077,0.5030636040787088,0.42470194361545804,0.6989477438915641,0.3466024612092028
Right Foot Creep,YoungBoy Never Broke Again,https://m.tiktok.com/h5/share/music/6871082689080854530.html?language=en&source=h5_m&u_code=e0ci6d3ae18e86&_d=e0ci6d3ae18e86&share_music_id=6871082689080854530,173300922,616198,7882.0,14797.0,23442.0,60506.0,114618.0,0.11816232998225902,1.0,1.0,1.0,0.573,0.01596913016495902,0.09819246411056186,0.5278926521139786,0.38743265130730836,0.6312174729118676,0.33623410971760087
Infinity,Jaymes Young,https://m.tiktok.com/h5/share/music/6704992801559414786.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6704992801559414786,38045426,5091532,6843.0,12035.0,17521.0,43056.0,109969.0,-0.35653759359167875,1.0,1.0,1.0,1.0,0.0012292859347231575,0.008456393871235613,0.39152852167429003,0.40693515421776294,0.686890017693054,0.39055989954911247
Before I Knew It,Mason Ramsey,https://www.tiktok.com/music/Before-I-Knew-It-6716842684704622593?_r=1&language=en&source=h5_m&u_code=e0ci91jhml7h5k&_d=e0ci91jhml7h5k&share_music_id=6716842684704622593,436016821,464140,6068.0,10636.0,15232.0,35149.0,138659.0,-0.6604289440633755,1.0,1.0,0.827,0.381,0.012202250050792526,0.07572930581290128,0.25349238058834983,0.4333551452388404,0.698266806722689,0.39837184873949577
BOOM,Tiësto,https://m.tiktok.com/h5/share/music/6542955494212897537.html?language=en&source=h5_m&u_code=e0ci4eglh35023&_d=e0ci4eglh35023&share_music_id=6542955494212897537,374167,761463,4696.0,9220.0,13922.0,33182.0,64037.0,0.07541727434775564,1.0,1.0,1.0,0.697,0.0063030713658599104,0.04357664128132293,0.5181691834408233,0.4195648243023326,0.6622611693722167,0.33730785806636976
Don't Be Shy,Tiësto,https://www.tiktok.com/music/Don%27t-Be-Shy-6992044838635964417?_r=1&language=en&source=h5_m&u_code=e0ci1a21gib1m4&_d=e0ci1a21gib1m4&share_music_id=6992044838635964417,412800826,831290,3902.0,7599.0,10954.0,24422.0,49471.0,-0.02503093935885664,1.0,1.0,1.0,0.78,0.0043921063019434475,0.029378435924887824,0.49366295405389016,0.4485300139218737,0.6937191893372284,0.35621690706591197
You (feat. Travis Scott),Don Toliver,https://m.tiktok.com/h5/share/music/7053496388780526362.html?language=en&source=h5_m&u_code=e0chd0i253ejl6&_d=e0chd0i253ejl6&share_music_id=7053496388780526362,456870281,291147,3245.0,6504.0,10798.0,28833.0,65834.0,-0.22075079051917515,1.0,1.0,0.172,0.211,0.014873113327302262,0.09903244752650722,0.4379651851626819,0.37450143932299795,0.6023337655121319,0.3005186145582515
Let Her Go,Jasmine Thompson,https://www.tiktok.com/music/original-sound-eiChelle%F0%9F%96%A4%F0%9F%94%A5%F0%9F%87%B5%F0%9F%87%AD%F0%9F%87%B8%F0%9F%87%AC-7011910825149483777?_r=1&language=en&source=h5_m&u_code=e0chm6a8g9l9gb&_d=e0chm6a8g9l9gb&share_music_id=7011910825149483777,430248689,244634,2693.0,4887.0,6700.0,14775.0,36607.0,-0.32324111396115796,1.0,1.0,0.172,0.211,0.008339695185400746,0.06039634719621966,0.40361133116617043,0.45346869712351945,0.7294029850746269,0.4019402985074627
At My Worst,Pink Sweat$,https://m.tiktok.com/h5/share/music/6849271167547607041.html?language=en&source=h5_m&u_code=e0ci3a18k482k9&_d=e0ci3a18k482k9&share_music_id=6849271167547607041,153216336,2468211,2239.0,4297.0,5990.0,13635.0,26329.0,0.07412951000472665,1.0,1.0,1.0,1.0,0.0008258189709935702,0.005524244077998194,0.5178700292453189,0.4393105977264393,0.7173622704507513,0.3737896494156928
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,CKay,https://www.tiktok.com/music/love-nwantiti-feat-Dj-Yo-AX%27EL-7005960532561807361?_r=1&language=en&source=h5_m&u_code=e0ci1894i9k9bi&_d=e0ci1894i9k9bi&share_music_id=7005960532561807361,420348727,1032650,2153.0,4348.0,6472.0,15591.0,32745.0,-0.09111577474641483,1.0,1.0,1.0,1.0,0.002207096276533864,0.015098048709630562,0.4761337608795236,0.4151112821499583,0.6718170580964153,0.332663782447466
Cheap Thrills,Sia,https://www.tiktok.com/music/Cheap-Thrills-Sia-Sean-Paul-6649545529443388174?_r=1&language=en&source=h5_m&u_code=e0chfkg6j866cb&_d=e0chfkg6j866cb&share_music_id=6649545529443388174,393246515,254362,1461.0,2875.0,4226.0,9859.0,19922.0,-0.02027228460697605,1.0,1.0,0.172,0.211,0.005963607034063718,0.03875972039848719,0.49488003212528864,0.42864387868952225,0.6803123521060104,0.3457169900615239
Locked out of Heaven,Bruno Mars,https://www.tiktok.com/music/Locked-out-of-Heaven-6704976866073151490?_r=1&language=en&source=h5_m&u_code=e0chlbc685h15f&_d=e0chlbc685h15f&share_music_id=6704976866073151490,85585549,766279,1301.0,2534.0,3875.0,8296.0,17684.0,-0.11631870472944184,1.0,1.0,1.0,0.697,0.0016189960807807522,0.010826343929560904,0.4691246324361004,0.46709257473481197,0.6539354838709678,0.335741935483871
Yellow,Coldplay,https://m.tiktok.com/h5/share/music/6711175901217818626.html?language=en&source=h5_m&u_code=e0chf456lch5fk&_d=e0chf456lch5fk&share_music_id=6711175901217818626,54478578,279158,1287.0,2805.0,4220.0,9231.0,19428.0,-0.09473374521918211,1.0,1.0,0.172,0.211,0.0049325635732033616,0.033067295223493505,0.47513897467572574,0.45715523778572204,0.6646919431279621,0.30497630331753556
Here's Your Perfect,Jamie Miller,https://www.tiktok.com/music/suara-asli-Die-6992408484046244634?_r=1&language=en&source=h5_m&u_code=e0chf1aj112am1&_d=e0chf1aj112am1&share_music_id=6992408484046244634,412803946,429199,1244.0,2225.0,3494.0,7526.0,12054.0,0.6621024734982333,1.0,1.0,0.827,0.381,0.002841051931666291,0.017534989596900273,0.6243570598971295,0.464257241562583,0.6368059530623926,0.35603892386949054
Island In The Sun,Weezer,https://m.tiktok.com/h5/share/music/6826761248797886465.html?language=en&source=h5_m&u_code=e0chek1043c2f3&_d=e0chek1043c2f3&share_music_id=6826761248797886465,65277128,226098,1230.0,2239.0,3512.0,6906.0,12233.0,0.2964144922094988,1.0,1.0,0.172,0.211,0.004972415893404339,0.030544277260303055,0.5645385432845582,0.5085432956849116,0.6375284738041003,0.35022779043280183
Emiliana,CKay,https://www.tiktok.com/music/Emiliana-7038934214774917894?_r=1&language=en&source=h5_m&u_code=e0ci77ifg87ce2&_d=e0ci77ifg87ce2&share_music_id=7038934214774917894,441908986,526457,1166.0,2331.0,3894.0,8993.0,20524.0,-0.22010233284190442,1.0,1.0,1.0,0.461,0.002567782727843331,0.017082116868044304,0.4381699473786786,0.43300344712554206,0.598613251155624,0.2994350282485876
abcdefu,GAYLE,https://www.tiktok.com/music/abcdefu-6994724904944568322?_r=1&language=en&source=h5_m&u_code=e0ci2g48771jic&_d=e0ci2g48771jic&share_music_id=6994724904944568322,414634955,2465590,881.0,1657.0,3458.0,11410.0,32926.0,-0.4696969696969697,1.0,1.0,1.0,1.0,0.000708133755131329,0.004627695602269639,0.3465346534653465,0.3030674846625767,0.4791787160208213,0.25477154424522847
Talking to the Moon,Bruno Mars,https://m.tiktok.com/h5/share/music/6705031665275652097.html?language=en&source=h5_m&u_code=e0chb9imcch4lm&_d=e0chb9imcch4lm&share_music_id=6705031665275652097,13331580,428966,807.0,1733.0,2695.0,5714.0,30431.0,-0.7688230772342922,1.0,1.0,0.827,0.381,0.0019117732588134655,0.013320403015623615,0.18776905129637542,0.47164858242912144,0.6430426716141002,0.299443413729128
