1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,Post Count 7 Day Delta,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
1,0,nan,nan,https://m.tiktok.com/h5/share/music/7059240195731835649.html?language=en&source=h5_m&u_code=e0chidijh0iia6&_d=e0chidijh0iia6&share_music_id=7059240195731835649,463443134,528015,34114.0,72264.0,119207.0,281991.0,467498.0,0.520109753270766,1.0,1.0,1.0,0.461,0.100117230200728,0.5340586915144456,0.6031918853128784,0.4227333496459107,0.6062060113919484,0.28617446962007265
2,0,Rather Be (feat. Jess Glynne),Clean Bandit,https://m.tiktok.com/h5/share/music/6996758993192356613.html?language=en&source=h5_m&u_code=e0ci6217ded8ll&_d=e0ci6217ded8ll&share_music_id=6996758993192356613,428564967,336849,25185.0,48385.0,66036.0,135804.0,159347.0,4.768338784352037,1.0,1.0,0.195,0.299,0.07435842402449741,0.4031598728213532,0.8522532586117091,0.48625960943713,0.7327064025682961,0.3813828820643285
3,0,Unstoppable,Sia,https://m.tiktok.com/h5/share/music/6990441958090999809.html?language=en&source=h5_m&u_code=e0ci662kc8476i&_d=e0ci662kc8476i&share_music_id=6990441958090999809,413442546,461432,12113.0,24222.0,36369.0,69868.0,123397.0,0.3052364139064806,1.0,1.0,0.827,0.381,0.025295341059199398,0.15141559319683073,0.5662050130878384,0.520538730176905,0.6660067640023096,0.33305837388985127
4,+653,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,https://m.tiktok.com/h5/share/music/6738456583379880706.html?language=en&source=h5_m&u_code=e0ci2443jckk3m&_d=e0ci2443jckk3m&share_music_id=6738456583379880706,120017970,678807,9878.0,18318.0,28854.0,64918.0,131258.0,-0.02143503165511004,1.0,1.0,1.0,0.573,0.014564414913252052,0.09563543098406468,0.4945831873104877,0.4444684062971749,0.6348513204408401,0.3423442157066611
5,0,Burn Rubber Again,AzChike,https://m.tiktok.com/h5/share/music/7048832574126443311.html?language=en&source=h5_m&u_code=e0ci1ikb8i4a6k&_d=e0ci1ikb8i4a6k&share_music_id=7048832574126443311,449864248,61419,7521.0,14054.0,20776.0,29626.0,36056.0,3.60746500777605,1.0,0.647,0.035,0.016,0.12448565931571036,0.4823588791741969,0.8216662968715331,0.7012759062985215,0.6764536003080478,0.3620042356565268
6,+16,Jenny (I Wanna Ruin Our Friendship),Studio Killers,https://m.tiktok.com/h5/share/music/7063917623092005633.html?language=en&source=h5_m&u_code=e0chf2bg89b0me&_d=e0chf2bg89b0me&share_music_id=7063917623092005633,468635006,28530,7051.0,9245.0,11609.0,20617.0,26714.0,2.3814990979170085,0.496,0.283,0.035,0.016,0.21676219340804379,0.7226428321065546,0.7717676124878341,0.5630790124654411,0.7963648893100181,0.6073735894564563
7,-3,Right Foot Creep,YoungBoy Never Broke Again,https://m.tiktok.com/h5/share/music/6871082689080854530.html?language=en&source=h5_m&u_code=e0ci6d3ae18e86&_d=e0ci6d3ae18e86&share_music_id=6871082689080854530,173300922,608377,6902.0,15513.0,27798.0,59332.0,111717.0,0.13261429798606472,1.0,1.0,1.0,0.573,0.016202167585889726,0.09752505436596058,0.531091955566297,0.46851614643025685,0.5580617310597885,0.24829124397438665
8,-2,abcdefu,GAYLE,https://m.tiktok.com/h5/share/music/7055237440704973595.html?language=en&source=h5_m&u_code=e0ched0kg53736&_d=e0ched0kg53736&share_music_id=7055237440704973595,459084384,165250,6233.0,12561.0,20288.0,55788.0,136754.0,-0.3109700368055727,1.0,1.0,0.273,0.13,0.05039108819789504,0.3375975794251135,0.40794419176038726,0.3636624363662436,0.6191344637223974,0.30722594637223977
9,-1,No Idea,Don Toliver,https://m.tiktok.com/h5/share/music/7062549170154244891.html?language=en&source=h5_m&u_code=e0ci1ad6jcbe6l&_d=e0ci1ad6jcbe6l&share_music_id=7062549170154244891,466977946,190200,5599.0,10664.0,16433.0,46451.0,134181.0,-0.47052319617006727,1.0,1.0,0.273,0.13,0.03395986026914458,0.24422187171398527,0.34618165015911345,0.35377064002927816,0.6489381123349358,0.34071685024036996
10,+597,Infinity,Jaymes Young,https://m.tiktok.com/h5/share/music/6704992801559414786.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6704992801559414786,38045426,5084777,5187.0,10641.0,18086.0,43301.0,113498.0,-0.383150277077368,1.0,1.0,1.0,1.0,0.0011756068041445774,0.008515811017867646,0.38151333063137677,0.4176808849680146,0.5883556341921928,0.28679641711821297
11,-4,Primadonna,MARINA,https://m.tiktok.com/h5/share/music/6961027901781216006.html?language=en&source=h5_m&u_code=e0chf858f2ahb4&_d=e0chf858f2ahb4&share_music_id=6961027901781216006,395800655,42689,5039.0,10289.0,16457.0,26505.0,30043.0,6.4915206331260595,0.82,0.478,0.035,0.016,0.16273330359327098,0.620885942514465,0.8822354625037446,0.6209017166572345,0.6252050799052075,0.30619189402685787
12,-2,Before I Knew It,Mason Ramsey,https://m.tiktok.com/h5/share/music/6716842684704622593.html?language=en&source=h5_m&u_code=e0che1fi8f0208&_d=e0che1fi8f0208&share_music_id=6716842684704622593,436016821,458073,4568.0,9163.0,15863.0,36402.0,145446.0,-0.6661714537251018,1.0,1.0,0.827,0.381,0.011282318978273915,0.07946768309854543,0.25027845385916425,0.4357727597384759,0.5776334867301267,0.2879657063607136
13,-4,BOOM,Tiësto,https://m.tiktok.com/h5/share/music/6542955494212897537.html?language=en&source=h5_m&u_code=e0ci4eglh35023&_d=e0ci4eglh35023&share_music_id=6542955494212897537,374167,756762,4524.0,9227.0,14159.0,32708.0,63470.0,0.0632598660685261,1.0,1.0,1.0,0.697,0.006379682394688787,0.04322098625459524,0.5153300772018277,0.4328910358322123,0.6516703157002613,0.3195140899781058
14,N/A,Sparks,Coldplay,https://m.tiktok.com/h5/share/music/7067009326149372719.html?language=en&source=h5_m&u_code=e0ci2edjc0b615&_d=e0ci2edjc0b615&share_music_id=7067009326149372719,472187997,54932,4219.0,10059.0,15532.0,49549.0,nan,nan,1.0,0.58,0.035,0.016,0.16185749401136673,0.9020061166533169,nan,0.31346747663928637,0.6476306979139841,0.27163275817666754
15,-3,Don't Be Shy,Tiësto,https://m.tiktok.com/h5/share/music/6992044838635964417.html?language=en&source=h5_m&u_code=e0chm93dak12ah&_d=e0chm93dak12ah&share_music_id=6992044838635964417,412800826,827394,3698.0,7052.0,10631.0,24204.0,48450.0,-0.0017322444939371442,1.0,1.0,1.0,0.78,0.004238319402296577,0.02925329407754951,0.4995665634674923,0.4392249215005784,0.6633430533345875,0.34785062552911294
16,-5,You (feat. Travis Scott),Don Toliver,https://m.tiktok.com/h5/share/music/7053496388780526362.html?language=en&source=h5_m&u_code=e0chd0i253ejl6&_d=e0chd0i253ejl6&share_music_id=7053496388780526362,456870281,287904,3258.0,7552.0,12850.0,30307.0,67132.0,-0.17699932111337408,1.0,1.0,0.172,0.211,0.01560107725874256,0.10526772813159942,0.45145385211225647,0.42399445672616887,0.587704280155642,0.2535408560311284
