1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,3 Day Post Growth Rank,Change in 3 Day Post Growth Rank,Post Count 7 Day Delta,7 Day Post Growth Rank,Change in 7 Day Post Growth Rank,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
1,0,nan,nan,https://www.tiktok.com/music/original-sound-7059240195731835649?_r=1&language=en&source=h5_m&u_code=e0ci4bfjf9m2k1&_d=e0ci4bfjf9m2k1&share_music_id=7059240195731835649,463443134,558533,30520.0,64635.0,102786.0,0,0,272696.0,0,0,487526.0,0.2693571661313597,1.0,1.0,1.0,0.461,0.08605380261595032,0.4882361471927353,0.5593465784388935,0.376925220758647,0.6288307746191115,0.29692759714357986
2,0,Rather Be (feat. Jess Glynne),Clean Bandit,https://www.tiktok.com/music/L-o-s-a-m-o-6996758993192356613?_r=1&language=en&source=h5_m&u_code=e0ci8k1k045j63&_d=e0ci8k1k045j63&share_music_id=6996758993192356613,428564967,360605,23787.0,48970.0,72162.0,0,0,146568.0,0,0,181054.0,3.2500724931856406,1.0,1.0,0.195,0.299,0.0730575517663472,0.40645027107222587,0.809526439625747,0.49234485017193386,0.678612011862199,0.3296333250187079
3,+3,Jenny (I Wanna Ruin Our Friendship),Studio Killers,https://m.tiktok.com/h5/share/music/7063917623092005633.html?language=en&source=h5_m&u_code=e0chf2bg89b0me&_d=e0chf2bg89b0me&share_music_id=7063917623092005633,468635006,43441,14920.0,21965.0,24159.0,0,0,34229.0,0,0,41293.0,3.845554926387316,0.82,0.478,0.035,0.14,0.3023508137432188,0.7879422665224097,0.828929842830504,0.7058050191358205,0.9091849828221367,0.6175752307628627
4,-1,Unstoppable,Sia,https://www.tiktok.com/music/Unstoppable-6990441958090999809?_r=1&language=en&source=h5_m&u_code=e0chk93hj1f8kh&_d=e0chk93hj1f8kh&share_music_id=6990441958090999809,413442546,474228,12817.0,24930.0,37039.0,0,0,74693.0,0,0,129630.0,0.35961191910734114,1.0,1.0,0.827,0.381,0.02670319322601666,0.15750440716279931,0.5762014965671527,0.49588314835392877,0.6730743270606658,0.3460406598450282
5,-1,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],CKay,https://m.tiktok.com/h5/share/music/6738456583379880706.html?language=en&source=h5_m&u_code=e0ci2443jckk3m&_d=e0ci2443jckk3m&share_music_id=6738456583379880706,120017970,688521,9717.0,19595.0,28035.0,0,0,66011.0,0,0,131218.0,0.012329964574355513,1.0,1.0,1.0,0.573,0.014721969890835174,0.09587361896006077,0.5030636040787088,0.42470194361545804,0.6989477438915641,0.3466024612092028
6,-1,Burn Rubber Again,AzChike,https://www.tiktok.com/music/Bing-Bong-7048832574126443311?_r=1&language=en&source=h5_m&u_code=e0chljj0266c60&_d=e0chljj0266c60&share_music_id=7048832574126443311,449864248,69775,8358.0,15879.0,22412.0,0,0,36724.0,0,0,43921.0,4.102681672919272,1.0,0.647,0.035,0.016,0.13690218477319657,0.5263203152991759,0.8361376107101387,0.6102821043459318,0.7085043726575049,0.37292521863287525
7,0,Right Foot Creep,YoungBoy Never Broke Again,https://m.tiktok.com/h5/share/music/6871082689080854530.html?language=en&source=h5_m&u_code=e0ci6d3ae18e86&_d=e0ci6d3ae18e86&share_music_id=6871082689080854530,173300922,616198,7882.0,14797.0,23442.0,0,0,60506.0,0,0,114618.0,0.11816232998225902,1.0,1.0,1.0,0.573,0.01596913016495902,0.09819246411056186,0.5278926521139786,0.38743265130730836,0.6312174729118676,0.33623410971760087
8,0,abcdefu,GAYLE,https://www.tiktok.com/music/ABCDEFU-TIED-7055237440704973595?_r=1&language=en&source=h5_m&u_code=e0chd53fc34mgh&_d=e0chd53fc34mgh&share_music_id=7055237440704973595,459084384,172705,7455.0,13688.0,20016.0,0,0,52182.0,0,0,139678.0,-0.40360702203529303,1.0,1.0,0.273,0.13,0.046732714480858084,0.3021452766277757,0.37358782342244307,0.3835805450155226,0.6838529176658673,0.37245203836930457
9,+1,Infinity,Jaymes Young,https://m.tiktok.com/h5/share/music/6704992801559414786.html?language=en&source=h5_m&u_code=e0ci1g3bjfa5l5&_d=e0ci1g3bjfa5l5&share_music_id=6704992801559414786,38045426,5091532,6843.0,12035.0,17521.0,0,0,43056.0,0,0,109969.0,-0.35653759359167875,1.0,1.0,1.0,1.0,0.0012292859347231575,0.008456393871235613,0.39152852167429003,0.40693515421776294,0.686890017693054,0.39055989954911247
10,+2,Before I Knew It,Mason Ramsey,https://www.tiktok.com/music/Before-I-Knew-It-6716842684704622593?_r=1&language=en&source=h5_m&u_code=e0ci91jhml7h5k&_d=e0ci91jhml7h5k&share_music_id=6716842684704622593,436016821,464140,6068.0,10636.0,15232.0,0,0,35149.0,0,0,138659.0,-0.6604289440633755,1.0,1.0,0.827,0.381,0.012202250050792526,0.07572930581290128,0.25349238058834983,0.4333551452388404,0.698266806722689,0.39837184873949577
11,0,Primadonna,MARINA,https://www.tiktok.com/music/primadonna-by-MARINA-6961027901781216006?_r=1&language=en&source=h5_m&u_code=e0chlk69g87j08&_d=e0chlk69g87j08&share_music_id=6961027901781216006,395800655,47505,4820.0,9860.0,15110.0,0,0,29714.0,0,0,34645.0,5.02595822348408,0.82,0.478,0.035,0.016,0.15397326401782407,0.625492053468056,0.8576706595468322,0.508514504947163,0.6525479814692257,0.3189940436796823
